image_name,true_class,true_class_name,is_correct,top_1_prob,top_1_prob_class,top_1_prob_name,top_2_prob,top_2_prob_class,top_2_prob_name,top_3_prob,top_3_prob_class,top_3_prob_name,top_4_prob,top_4_prob_class,top_4_prob_name,top_5_prob,top_5_prob_class,top_5_prob_name
ILSVRC2012_val_00001079.JPEG,n15075141,"toilet tissue, toilet paper, bathroom tissue",False,71.1625695229,n03459775,"grille, radiator grille",2.04260163009,n03445924,"golfcart, golf cart",1.83293316513,n02795169,"barrel, cask",1.69772040099,n03376595,folding chair,1.3918556273,n03770679,minivan
ILSVRC2012_val_00001218.JPEG,n01608432,kite,True,31.9018572569,n01608432,kite,24.8004734516,n02002556,"white stork, Ciconia ciconia",6.52594268322,n01614925,"bald eagle, American eagle, Haliaeetus leucocephalus",5.7872582227,n02012849,crane,3.63220646977,n01616318,vulture
ILSVRC2012_val_00001671.JPEG,n07749582,lemon,True,96.9134569168,n07749582,lemon,3.0768878758,n07747607,orange,0.00482164869027,n07716906,spaghetti squash,0.00151653512148,n07753113,fig,0.000886539601197,n07742313,Granny Smith
ILSVRC2012_val_00003109.JPEG,n07930864,cup,False,47.4205821753,n03063599,coffee mug,25.8951038122,n07930864,cup,18.6670616269,n07920052,espresso,1.32367210463,n03786901,mortar,1.19536137208,n04263257,soup bowl
ILSVRC2012_val_00003594.JPEG,n07248320,"book jacket, dust cover, dust jacket, dust wrapper",False,45.8349347115,n07565083,menu,5.44507578015,n03871628,packet,5.35859316587,n04238763,"slide rule, slipstick",3.55961993337,n03425413,"gas pump, gasoline pump, petrol pump, island dispenser",2.34807357192,n03492542,"hard disc, hard disk, fixed disk"
ILSVRC2012_val_00003632.JPEG,n04606251,wreck,True,74.6844828129,n04606251,wreck,4.80264127254,n10565667,scuba diver,4.35305722058,n04347754,"submarine, pigboat, sub, U-boat",2.4345010519,n01494475,"hammerhead, hammerhead shark",1.61624457687,n09399592,"promontory, headland, head, foreland"
ILSVRC2012_val_00003866.JPEG,n09399592,"promontory, headland, head, foreland",True,39.4692748785,n09399592,"promontory, headland, head, foreland",25.5797743797,n04606251,wreck,9.71471965313,n09421951,"sandbar, sand bar",5.2008677274,n02066245,"grey whale, gray whale, devilfish, Eschrichtius gibbosus, Eschrichtius robustus",3.76805439591,n09428293,"seashore, coast, seacoast, sea-coast"
ILSVRC2012_val_00004187.JPEG,n09472597,volcano,False,62.4146461487,n09332890,"lakeside, lakeshore",8.89246165752,n09472597,volcano,8.39120671153,n02894605,"breakwater, groin, groyne, mole, bulwark, seawall, jetty",4.55314405262,n09399592,"promontory, headland, head, foreland",3.67096811533,n09428293,"seashore, coast, seacoast, sea-coast"
ILSVRC2012_val_00004255.JPEG,n02236044,"mantis, mantid",True,53.1542897224,n02236044,"mantis, mantid",31.5930455923,n02226429,"grasshopper, hopper",4.61537465453,n02229544,cricket,3.47052067518,n01770081,"harvestman, daddy longlegs, Phalangium opilio",2.2111762315,n01753488,"horned viper, cerastes, sand viper, horned asp, Cerastes cornutus"
ILSVRC2012_val_00004472.JPEG,n13054560,bolete,True,70.4290091991,n13054560,bolete,27.8742820024,n07734744,mushroom,1.37192979455,n12998815,agaric,0.150134740397,n13044778,earthstar,0.117035931908,n13040303,"stinkhorn, carrion fungus"
ILSVRC2012_val_00004613.JPEG,n01641577,"bullfrog, Rana catesbeiana",True,50.2856552601,n01641577,"bullfrog, Rana catesbeiana",35.5133295059,n01644900,"tailed frog, bell toad, ribbed toad, tailed toad, Ascaphus trui",2.34389193356,n01667114,mud turtle,1.50082977489,n01667778,terrapin,1.39078618959,n01644373,"tree frog, tree-frog"
ILSVRC2012_val_00004756.JPEG,n01518878,"ostrich, Struthio camelus",True,99.9919652939,n01518878,"ostrich, Struthio camelus",0.00348254288838,n01860187,"black swan, Cygnus atratus",0.00109501906991,n02412080,"ram, tup",0.0010725334505,n02018795,bustard,0.000633981107967,n02012849,crane
ILSVRC2012_val_00004920.JPEG,n11939491,daisy,True,99.1031050682,n11939491,daisy,0.643930351362,n03991062,"pot, flowerpot",0.0786826305557,n02165456,"ladybug, ladybeetle, lady beetle, ladybird, ladybird beetle",0.0505568226799,n02190166,fly,0.0346786313457,n03930313,"picket fence, paling"
ILSVRC2012_val_00005287.JPEG,n01531178,"goldfinch, Carduelis carduelis",True,99.9990582466,n01531178,"goldfinch, Carduelis carduelis",0.000528562213731,n01828970,bee eater,0.000389996830563,n01560419,bulbul,1.38089163215e-05,n01843383,toucan,8.76657324511e-06,n01580077,jay
ILSVRC2012_val_00005747.JPEG,n07742313,Granny Smith,True,98.5454797745,n07742313,Granny Smith,0.894078984857,n07720875,bell pepper,0.146191334352,n07718472,"cucumber, cuke",0.0602479674853,n07753113,fig,0.0378995522624,n12267677,acorn
ILSVRC2012_val_00005847.JPEG,n07802026,hay,True,99.9825179577,n07802026,hay,0.0147843486047,n02980441,castle,0.00133969797389,n03743016,"megalith, megalithic structure",0.000487636270918,n04326547,stone wall,0.00031521060464,n02793495,barn
ILSVRC2012_val_00006432.JPEG,n03938244,pillow,True,92.3231899738,n03938244,pillow,2.04362180084,n03207743,"dishrag, dishcloth",1.13686025143,n03223299,"doormat, welcome mat",1.07933348045,n03026506,Christmas stocking,0.626803655177,n04548362,"wallet, billfold, notecase, pocketbook"
ILSVRC2012_val_00006632.JPEG,n04591713,wine bottle,False,73.8014519215,n07892512,red wine,17.9865404963,n04591713,wine bottle,6.25716373324,n02823428,beer bottle,0.527975615114,n03983396,"pop bottle, soda bottle",0.248780171387,n04557648,water bottle
ILSVRC2012_val_00006722.JPEG,n02074367,"dugong, Dugong dugon",True,99.9596774578,n02074367,"dugong, Dugong dugon",0.0212235885556,n02398521,"hippopotamus, hippo, river horse, Hippopotamus amphibius",0.0156608497491,n01917289,brain coral,0.000821532739792,n09256479,coral reef,0.000683957478032,n02526121,eel
ILSVRC2012_val_00007058.JPEG,n07871810,"meat loaf, meatloaf",False,35.7188403606,n07579787,plate,32.3470205069,n07831146,carbonara,5.31309247017,n07584110,consomme,5.20538128912,n07711569,mashed potato,3.89224179089,n04081281,"restaurant, eating house, eating place, eatery"
ILSVRC2012_val_00007307.JPEG,n07836838,"chocolate sauce, chocolate syrup",False,34.5643758774,n04447861,toilet seat,7.4430167675,n03637318,"lampshade, lamp shade",4.15979325771,n07613480,trifle,4.11677993834,n02834397,bib,3.768600896,n04192698,"shield, buckler"
ILSVRC2012_val_00009208.JPEG,n01496331,"electric ray, crampfish, numbfish, torpedo",True,43.0747836828,n01496331,"electric ray, crampfish, numbfish, torpedo",27.1391659975,n01484850,"great white shark, white shark, man-eater, man-eating shark, Carcharodon carcharias",15.8175483346,n01498041,stingray,7.57716447115,n01491361,"tiger shark, Galeocerdo cuvieri",4.71640825272,n01494475,"hammerhead, hammerhead shark"
ILSVRC2012_val_00009396.JPEG,n01440764,"tench, Tinca tinca",True,99.9595820904,n01440764,"tench, Tinca tinca",0.038814052823,n02514041,"barracouta, snoek",0.00152450593305,n02641379,"gar, garfish, garpike, billfish, Lepisosteus osseus",6.43465114081e-05,n02536864,"coho, cohoe, coho salmon, blue jack, silver salmon, Oncorhynchus kisutch",1.63474808801e-05,n02526121,eel
ILSVRC2012_val_00009581.JPEG,n02356798,"fox squirrel, eastern fox squirrel, Sciurus niger",False,40.8163249493,n02219486,"ant, emmet, pismire",15.9320220351,n02236044,"mantis, mantid",10.3202387691,n01773797,"garden spider, Aranea diademata",4.7476965934,n01773549,"barn spider, Araneus cavaticus",2.58099716157,n01978455,"rock crab, Cancer irroratus"
ILSVRC2012_val_00011045.JPEG,n09399592,"promontory, headland, head, foreland",False,26.9977122545,n09332890,"lakeside, lakeshore",20.8045363426,n09428293,"seashore, coast, seacoast, sea-coast",14.384175837,n09399592,"promontory, headland, head, foreland",11.9097955525,n09256479,coral reef,6.06596656144,n09421951,"sandbar, sand bar"
ILSVRC2012_val_00012630.JPEG,n13052670,"hen-of-the-woods, hen of the woods, Polyporus frondosus, Grifola frondosa",False,49.5209723711,n04326547,stone wall,8.17881897092,n03042490,cliff dwelling,6.6219843924,n09246464,"cliff, drop, drop-off",3.93098592758,n13052670,"hen-of-the-woods, hen of the woods, Polyporus frondosus, Grifola frondosa",2.88681425154,n02415577,"bighorn, bighorn sheep, cimarron, Rocky Mountain bighorn, Rocky Mountain sheep, Ovis canadensis"
ILSVRC2012_val_00013772.JPEG,n01753488,"horned viper, cerastes, sand viper, horned asp, Cerastes cornutus",True,53.6295771599,n01753488,"horned viper, cerastes, sand viper, horned asp, Cerastes cornutus",14.50586766,n01687978,agama,7.51045942307,n01756291,"sidewinder, horned rattlesnake, Crotalus cerastes",5.08712641895,n01945685,slug,3.84389236569,n01729322,"hognose snake, puff adder, sand viper"
ILSVRC2012_val_00014336.JPEG,n01558993,"robin, American robin, Turdus migratorius",True,98.9082694054,n01558993,"robin, American robin, Turdus migratorius",0.797228701413,n01824575,coucal,0.227260426618,n01530575,"brambling, Fringilla montifringilla",0.0553768069949,n01560419,bulbul,0.00419737116317,n01534433,"junco, snowbird"
